[18:11:22] [2J[HCONTAINER ID   NAME                                                                                                                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
[18:11:23] [2J[HCONTAINER ID   NAME                                                                                                                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
[18:11:23] ec7b8640253d   dev-peer1.org3.identity.com-identitychaincode2_1.0-db01f16dbc530a8776093f66fbf782e845f2199fef5f922b5aab794c305ca310   0.00%     3.391MiB / 2GiB       0.17%     216kB / 171kB     0B / 0B           7
[18:11:23] b8a8246aec46   dev-peer2.org1.identity.com-identitychaincode2_1.0-db01f16dbc530a8776093f66fbf782e845f2199fef5f922b5aab794c305ca310   0.00%     3.688MiB / 2GiB       0.18%     253kB / 198kB     0B / 0B           7
[18:11:23] 934735486d7b   dev-peer1.org2.identity.com-identitychaincode2_1.0-db01f16dbc530a8776093f66fbf782e845f2199fef5f922b5aab794c305ca310   0.00%     3.629MiB / 2GiB       0.18%     242kB / 190kB     0B / 0B           7
[18:11:23] 74758e0a679d   dev-peer1.org1.identity.com-identitychaincode2_1.0-db01f16dbc530a8776093f66fbf782e845f2199fef5f922b5aab794c305ca310   0.00%     3.703MiB / 2GiB       0.18%     241kB / 190kB     0B / 0B           7
[18:11:23] 581d41f04dcc   dev-peer2.org3.identity.com-identitychaincode2_1.0-db01f16dbc530a8776093f66fbf782e845f2199fef5f922b5aab794c305ca310   0.00%     3.922MiB / 2GiB       0.19%     267kB / 210kB     0B / 0B           8
[18:11:23] 58459e16b961   dev-peer2.org2.identity.com-identitychaincode2_1.0-db01f16dbc530a8776093f66fbf782e845f2199fef5f922b5aab794c305ca310   0.00%     3.531MiB / 2GiB       0.17%     241kB / 191kB     0B / 0B           7
[18:11:23] 35431a70e963   dev-peer1.org1.identity.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.344MiB / 2GiB       0.21%     71.7kB / 70.5kB   0B / 0B           12
[18:11:23] 113f0349b911   dev-peer1.org2.identity.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.48MiB / 2GiB        0.22%     71.4kB / 70kB     0B / 0B           12
[18:11:23] b023b5612595   dev-peer2.org3.identity.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.52MiB / 2GiB        0.22%     74.3kB / 71.7kB   0B / 0B           12
[18:11:23] 325f2e21fedb   dev-peer2.org1.identity.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.422MiB / 2GiB       0.22%     74.1kB / 71.4kB   0B / 0B           12
[18:11:23] cfc890e52c31   dev-peer2.org2.identity.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.461MiB / 2GiB       0.22%     75.1kB / 72.5kB   0B / 0B           12
[18:11:23] a46281cd51fc   dev-peer1.org3.identity.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.316MiB / 2GiB       0.21%     71.5kB / 70.1kB   0B / 0B           12
[18:11:23] a5fb9948b370   network2                                                                                                              0.35%     178.4MiB / 15.49GiB   1.13%     76.2MB / 36MB     139kB / 425MB     1
[18:11:23] d9e8b09ffdd3   ca1.org3.identity.com                                                                                                 0.00%     3.953MiB / 15.49GiB   0.02%     10.4kB / 0B       0B / 352kB        12
[18:11:23] 6df00249836c   ca1.org2.identity.com                                                                                                 0.00%     3.855MiB / 15.49GiB   0.02%     10.4kB / 0B       0B / 352kB        12
[18:11:23] 55e5f3ae2c46   ca1.org1.identity.com                                                                                                 0.00%     3.965MiB / 15.49GiB   0.03%     10.4kB / 0B       0B / 352kB        12
