[10:53:37] [2J[HCONTAINER ID   NAME                                                                                                                   CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
[10:53:38] 52732ee477c4   peer1.org3.digiprism.com.couchdb                                                                                       5.80%     104.4MiB / 15.49GiB   0.66%     52.6MB / 36.5MB   47MB / 840MB     35
[10:53:38] 631a5cfd7bb5   peer2.org2.digiprism.com.couchdb                                                                                       5.23%     114.8MiB / 15.49GiB   0.72%     59.7MB / 43.8MB   53.9MB / 980MB   35
[10:53:38] f25f52e5571b   peer1.org2.digiprism.com.couchdb                                                                                       4.29%     115MiB / 15.49GiB     0.73%     59.8MB / 43.9MB   49.6MB / 979MB   35
[10:53:38] 8ca35365aa66   peer2.org1.digiprism.com.couchdb                                                                                       3.78%     109.9MiB / 15.49GiB   0.69%     59.8MB / 43.9MB   55.9MB / 982MB   35
[10:53:38] 8b12f7812104   peer1.org1.digiprism.com.couchdb                                                                                       8.61%     115.4MiB / 15.49GiB   0.73%     73.2MB / 74.4MB   60.3MB / 984MB   35
[10:53:39] [2J[HCONTAINER ID   NAME                                                                                                                   CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
[10:53:39] f843f967e4d3   explorer.network1                                                                                                      0.00%     145.2MiB / 15.49GiB   0.92%     1.98GB / 625MB    103MB / 156MB    35
[10:53:39] ec0fb0d1225d   explorerdb.network1                                                                                                    0.03%     49.04MiB / 15.49GiB   0.31%     136MB / 834MB     52.6MB / 732MB   9
[10:53:39] b5df462694ad   dev-peer2.org2.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.324MiB / 2GiB       0.31%     57MB / 17.2MB     8.08MB / 0B      12
[10:53:39] 97a57b753fbc   dev-peer1.org1.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.461MiB / 2GiB       0.32%     35.9MB / 11.6MB   7.54MB / 0B      12
[10:53:39] 49169ba2e361   dev-peer2.org3.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.262MiB / 2GiB       0.31%     68.7MB / 20.5MB   6.91MB / 0B      12
[10:53:39] 4806414fc675   dev-peer2.org1.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.457MiB / 2GiB       0.32%     78.8MB / 23.2MB   7.46MB / 0B      12
[10:53:39] 6f065b60b272   dev-peer1.org3.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.402MiB / 2GiB       0.31%     46.5MB / 14.5MB   6.76MB / 0B      12
